latitude,longitude,timestamp,total_wait_time,trail_number,spatial_spread,local_group_number,global_group_no
23.56423802,87.28315256,11:00:28,35,11,19.632687,1,1
23.56382099,87.28383986,8:48:26,4,23,4.972490377,1,6
23.55936875,87.28475107,17:01:11,138,2,17.40773334,3,7
23.55552964,87.28552021,7:11:42,8,26,8.219587387,2,8
23.5550902,87.28572558,8:57:42,15,23,5.979512413,3,21
23.55402417,87.28636499,7:12:19,1,12,0,2,22
23.55117144,87.28601922,9:06:29,3,18,5.134877202,2,26
23.55009264,87.28513896,7:15:30,48,12,12.43416289,3,2
23.55593193,87.2861964,9:05:18,2,25,0,1,32
23.54662631,87.28236134,7:16:36,1,26,0,3,33
23.5417832,87.28994764,7:22:52,4,4,5.115087326,3,11
23.54822871,87.28372674,9:20:21,27,30,10.63054846,4,3
23.53753981,87.29676204,9:20:19,4,3,8.499791831,3,10
23.54370521,87.28777628,17:14:25,20,2,0,6,9
23.53922232,87.2932137,9:15:15,1,18,0,3,27
23.54748714,87.28305944,16:11:59,1,1,0,4,4
23.53905641,87.29462086,7:24:13,21,8,12.29419185,2,16
23.54782377,87.28341421,9:21:06,2,30,0,5,34
23.54532179,87.28132318,9:22:28,1,30,0,6,35
23.53569126,87.29757934,9:17:25,327,7,44.54151448,1,5
23.52647691,87.31132836,11:25:42,5,6,6.746252472,4,12
23.53563571,87.29647157,11:29:55,10,11,27.72538369,4,19
23.53551371,87.29872115,7:31:15,4,9,0,4,17
23.53587102,87.29589268,9:27:54,8,16,0,3,24
23.53564262,87.29749198,9:23:25,21,17,0,2,25
23.52825811,87.31128097,7:36:46,16,9,17.25182909,5,18
23.54376789,87.2844047,16:14:12,1,24,0,2,30
23.52751395,87.31113717,17:36:32,10,14,11.75350578,3,23
23.53616565,87.29562904,9:09:16,1,23,0,5,29
23.52621814,87.31120906,16:34:51,3,24,0,3,31
23.5119433,87.31059245,11:39:17,2,11,0,5,20
23.53454595,87.29790361,9:42:02,1,30,0,8,36
23.51103599,87.31069521,7:52:34,1,20,0,9,28
23.51936196,87.31131757,11:28:24,3,6,5.861712964,5,13
23.50030229,87.30600006,11:44:53,6,11,9.325741312,6,14
23.50365138,87.30777751,9:51:32,1,30,0,9,37
23.49647226,87.31362626,9:37:01,5,7,10.4257836,2,15